scenario,probability,hour,line,upper_dual_abs,lower_dual_abs
high,0.25,13,L78,0.0,33.97396568759624
high,0.25,14,L78,0.0,46.90866910214277
high,0.25,15,L78,0.0,36.219140822233065
high,0.25,16,L78,0.0,25.349872529550158
high,0.25,17,L78,0.0,0.0
high,0.25,18,L78,0.0,0.0
high,0.25,19,L78,0.0,0.0
high,0.25,20,L78,0.0,0.0
high,0.25,21,L78,0.0,0.0
high,0.25,22,L78,0.0,0.0
high,0.25,23,L78,0.0,0.0
high,0.25,24,L78,0.0,0.0
