investor,hour,node,lambda_best_response_eur_per_mwh,lambda_joint_eur_per_mwh,difference_eur_per_mwh
I3,5,N3,59.999852063318485,59.99988864167476,-3.6578356272798374e-05
I3,5,N4,59.999852063345294,59.99988864224983,-3.6578904534678713e-05
I3,5,N5,59.99985206334974,59.99988864237384,-3.657902409770486e-05
I3,5,N6,59.999852063339944,59.99988864215439,-3.6578814444965246e-05
I3,5,N7,59.999852063284855,59.99988864075643,-3.657747157603808e-05
I3,5,N8,59.99985206331646,59.99988864158686,-3.657827039660333e-05
I3,5,N9,59.999852063321114,59.99988864172863,-3.6578407517140477e-05
I3,6,N1,60.00000058991064,59.99999999751694,5.923937038687654e-07
I3,6,N2,60.000000589802816,59.999999994800426,5.950023904688351e-07
I3,6,N3,60.00000058993411,59.999999998117595,5.918165157936528e-07
I3,6,N4,60.00000058993432,59.999999998117666,5.918166507967726e-07
I3,6,N5,60.00000058994818,59.99999999846923,5.914789511507479e-07
I3,6,N6,60.00000058994105,59.9999999982908,5.916502558989123e-07
I3,6,N7,60.000000589888465,59.99999999696274,5.929257227421658e-07
I3,6,N8,60.000000589926124,59.999999997915474,5.920106502799172e-07
I3,6,N9,60.00000058993412,59.999999998117595,5.918165228990802e-07
I3,7,N1,60.0000005899436,59.99999999844539,5.914982139643143e-07
I3,7,N2,60.00000058984115,59.9999999958659,5.939752512063023e-07
I3,7,N3,60.000000589950055,59.99999999861829,5.913317622230352e-07
I3,7,N4,60.000000589968046,59.99999999906604,5.909020046601654e-07
I3,7,N5,60.00000058999431,59.99999999973195,5.902623598785794e-07
I3,7,N6,60.00000058994366,59.999999998456715,5.914869447565252e-07
I3,7,N7,60.0000005899268,59.999999998028215,5.918985834796331e-07
I3,7,N8,60.00000058995128,59.99999999864748,5.913037952609557e-07
I3,7,N9,60.00000058995006,59.99999999861829,5.913317693284625e-07
I3,8,N1,60.000000589976466,59.999999998648626,5.913278400271338e-07
I3,8,N2,60.000000589869835,59.999999995655756,5.94214078830646e-07
I3,8,N3,60.00000058995764,59.999999997650356,5.923072805558149e-07
I3,8,N4,60.00000059000288,59.999999999225096,5.907777804736725e-07
I3,8,N5,60.000000590038304,60.000000000035655,5.900026494032318e-07
I3,8,N6,60.00000058996327,59.99999999791151,5.920517622826083e-07
I3,8,N7,60.000000589955484,59.99999999781807,5.921374111039768e-07
I3,8,N8,60.000000589962475,59.999999997902954,5.920595214092828e-07
I3,8,N9,60.000000589959804,59.99999999774287,5.92216935046963e-07
I3,9,N1,60.0000005898185,59.99999999488776,5.94930739339361e-07
I3,9,N2,60.00000058962108,59.99999998986444,5.997566390192333e-07
I3,9,N3,60.00000058969601,59.99999999175231,5.979436963343687e-07
I3,9,N4,60.000000589831245,59.999999995205556,5.946256891320445e-07
I3,9,N5,60.00000058984708,59.99999999559816,5.942489238464077e-07
I3,9,N6,60.000000589739095,59.99999999283679,5.969023035845566e-07
I3,9,N7,60.00000058970673,59.99999999202676,5.97679971292564e-07
I3,9,N8,60.00000058968336,59.99999999142567,5.982576922747285e-07
I3,9,N9,60.00000058969603,59.99999999175231,5.979437176506508e-07
I3,10,N1,52.20000051235843,52.20000000858742,5.037710053557021e-07
I3,10,N2,52.20000051212235,52.20000000274748,5.093748711715307e-07
I3,10,N3,52.20000051208878,52.200000001771386,5.103173918996617e-07
I3,10,N4,52.200000512363985,52.200000008734214,5.03629770776115e-07
I3,10,N5,52.20000051235083,52.20000000841325,5.039375849946737e-07
I3,10,N6,52.20000051206868,52.20000000122327,5.108454033120324e-07
