sweep,order,all_updates_optimal,all_audits_optimal,max_update_power_mw,max_update_energy_mwh,max_update_offer_mw,max_nash_power_mw,max_nash_energy_mwh,max_nash_offer_mw,max_profitable_deviation_eur_per_day,max_lmp_reclear_gap_eur_per_mwh,max_embedded_reclear_profit_gap_eur_per_day,max_complementarity_violation,stable_sweeps,power_I1_mw,energy_I1_mwh,profit_I1_eur_per_day,power_I2_mw,energy_I2_mwh,profit_I2_eur_per_day,power_I3_mw,energy_I3_mwh,profit_I3_eur_per_day,power_I4_mw,energy_I4_mwh,profit_I4_eur_per_day
21,I1->I2->I3->I4,True,False,0.14695287210852115,0.28882894643025736,0.15159995085661038,0.09551931602004693,0.1877387134786197,0.09853991798297734,429.51570348773294,0.0010324189881103507,0.020911926828375726,4.4047226712801197e-10,0,6.0305200226108155,12.061946400222812,5.434725596075992,6.900181136521774,13.80095132220076,-18.932775706741197,7.949072704239409,15.910161601587612,3336.3249188101418,9.512872229577498,19.02904437949811,5141.218363285578
22,I2->I3->I4->I1,True,True,0.128134258358358,0.2529689579487986,0.12899153526048224,0.1073219795908198,0.21249888618894985,0.11004253455193691,481.83197252932587,0.0010108279010694332,0.020006017535706633,5.155647253402156e-11,0,6.006474827186208,12.013538785746752,16.429610348661214,6.880415597398162,13.761214077244697,-6.260340423258242,7.936223079329382,15.880256810729676,3347.162685785389,9.557719220002923,19.11758351478019,5088.054057282777
23,I3->I4->I1->I2,True,False,0.12295519171652813,0.24376567023263718,0.12295519176996805,0.12152745788431574,0.24166085218801214,0.12212009027787651,544.7817316691944,0.0009615043349811003,0.005928663995334205,6.752108302922997e-10,0,5.9812546103905,11.962892156797883,29.55536480916824,6.8640214961621915,13.728291866412013,8.895118320535573,7.920592681449269,15.84626228736821,3360.1221013678037,9.600753537103706,19.202901499361612,5024.265045756327
24,I4->I1->I2->I3,False,False,0.12152745788431574,0.24166085218801214,0.12212009027787651,0.1321750234656207,0.2629556235587245,0.1349310284587908,592.521906519346,0.0009614948347618224,0.018374623520685418,8.311438420873436e-13,0,5.970599100497095,11.941447110028747,39.37805715731818,6.8640214961621915,13.728291866412013,20.245923077823306,7.920592681449269,15.84626228736821,3369.857203995306,9.600753537103706,19.202901499361612,4976.348458329196
25,I1->I2->I3->I4,False,False,0.14653333853063621,0.2916726134867922,0.14712593248926709,0.14653333853063621,0.2916726134867922,0.14712593248926709,656.8773316348706,0.00018344565762618004,0.0016834536154419766,2.957703497628645e-09,0,5.963673019068951,11.927507829633953,52.619665505772176,6.859519252948445,13.71920027455005,35.51564210124435,7.917665883731699,15.838631768992279,3382.957515569616,9.600753537103706,19.202901499361612,4911.795028914271
26,I2->I3->I4->I1,True,True,0.1496733503966734,0.2979526372196659,0.15026594270602267,0.1164148340513087,0.23192316698087012,0.11896337935069035,520.9230198578562,0.000948812503395402,0.01770144573492871,1.0025963865718732e-12,0,5.944536371306164,11.889177907708337,24.676469647901186,6.857613756132678,13.715332762589327,3.4631537154317584,7.91643068022788,15.835006362073132,3355.4666609746655,9.653139209742543,19.307184922388497,5047.39932774729
27,I3->I4->I1->I2,True,False,0.12885193055993938,0.2567973599981457,0.13140047576884584,0.12313081653898905,0.24567240735042262,0.12478737044082067,550.1107679783827,0.0009298792766330166,0.016480247701110784,3.9839781781810325e-10,0,5.920667966802554,11.841404291541082,30.7599735532595,6.842097859303756,13.684264131814281,10.598979312979026,7.903991045748683,15.80937634317224,3361.5493426464895,9.69823738543852,19.39706399838785,5017.436490767736
28,I4->I1->I2->I3,True,False,0.12313081653898905,0.24567240735042262,0.12478737044082067,0.13219337629172756,0.2640041156534956,0.1321933758784155,589.702114954558,0.0009031489737338916,0.0071140744897491,6.61971690540638e-10,0,5.8955014742016125,11.791047381685175,38.92730626107978,6.825738030606294,13.651520530293174,20.179866700434815,7.893355145759751,15.787616681658909,3369.7441131849073,9.741333171227167,19.4830493409605,4977.07973232264
29,I1->I2->I3->I4,False,False,0.14359422429984292,0.2868058116725223,0.14359422407053124,0.14359422429984292,0.2868058116725223,0.14359422407053124,640.5608623183207,0.0009038626055257737,0.007095047465426774,2.3179845341484936e-09,0,5.888590845568865,11.777210573394587,49.303504209542396,6.8212456420875265,13.642520189573634,32.23873020527017,7.893355145759751,15.787616681658909,3380.113772006847,9.741333171227167,19.4830493409605,4926.0498623323
30,I2->I3->I4->I1,True,True,0.14840739390384527,0.29643179108322926,0.1494841542814882,0.1158781775594857,0.2315077670385719,0.11587817751758323,515.9854491664892,0.0009035668118855256,0.0070559492501018894,1.6639125740162367e-10,0,5.8691798223635825,11.738378418817694,23.901924064355654,6.818325589621734,13.636669968248748,2.902158069404649,7.891455092197138,15.783499464537773,3354.90824257542,9.793275759093513,19.58680046783963,5050.2614169536
