investor,node,hour,installed_power_mw,charge_bid_mw,discharge_bid_mw
I1,N8,4,12.466900631862305,5.087048036950568,0.0010293681269667072
I1,N8,5,12.466900631862305,5.086273846966604,0.2687394186403469
I1,N8,6,12.466900631862305,5.091354157299433,0.0060331575479875745
I1,N8,7,12.466900631862305,5.072919689221898,0.46160224926036375
I1,N8,8,12.466900631862305,5.039670205394241,3.8045679532494594
I1,N8,9,12.466900631862305,5.607407521091062,0.016397434252370793
I1,N8,10,12.466900631862305,5.530424958763886,2.418074155385665e-07
I1,N8,11,12.466900631862305,5.530746811684507,2.2821058152096078e-07
I1,N8,12,12.466900631862305,0.033999281644883875,2.1364621992484288e-07
I1,N8,13,12.466900631862305,6.883066375637938,0.014780711610254526
I1,N8,14,12.466900631862305,12.466900552406834,2.539614115205388
I1,N8,15,12.466900631862305,7.343441774745589,4.7961470304134455
I1,N8,16,12.466900631862305,2.603543558192478e-07,4.267592392772966
I1,N8,17,12.466900631862305,2.494779225132195e-07,2.1604873021455436e-05
I1,N8,18,12.466900631862305,2.633593111659874e-07,0.02112068783847977
I1,N8,19,12.466900631862305,0.012006590143661748,8.883137456042173
I1,N8,20,12.466900631862305,3.5639471618993652,0.00633577628746683
I1,N8,21,12.466900631862305,3.5393320173237854,5.702276994931113
I1,N8,22,12.466900631862305,4.576888964710974,3.4328027722043815
I1,N8,23,12.466900631862305,5.0312991164576815,0.7930634593314647
I1,N8,24,12.466900631862305,5.142676988158589,0.006098217139132123
I1,N9,1,4.159451528389683,1.7233171575092963,0.00603429323764999
I1,N9,2,4.159451528389683,1.7144684644912822,0.005809176356919019
I1,N9,3,4.159451528389683,1.705620161763294,0.0031193914000643367
I1,N9,4,4.159451528389683,1.6981053035148548,0.0010870392104469202
I1,N9,5,4.159451528389683,1.698124155249591,0.0033553085616327438
I1,N9,6,4.159451528389683,1.6896778144923559,0.006573076152212452
I1,N9,7,4.159451528389683,1.6794293946317222,1.4145257179573978
I1,N9,8,4.159451528389683,1.7813763123347908,1.8950919163233046
I1,N9,9,4.159451528389683,1.7941333053817794,0.36733570158491324
I1,N9,10,4.159451528389683,1.812297028086427,2.3873867865266774e-07
I1,N9,11,4.159451528389683,1.8123021977152118,2.2326390957548567e-07
I1,N9,12,4.159451528389683,1.4066365322976262,2.1805617178443307e-07
I1,N9,13,4.159451528389683,4.159451333651533,0.5440739094551947
I1,N9,14,4.159451528389683,4.159451408369451,1.4517077294134622
I1,N9,15,4.159451528389683,2.9967789471047177,1.7274192617661606
I1,N9,16,4.159451528389683,2.7577211772988256e-07,1.6864770710898536
I1,N9,17,4.159451528389683,2.446486574948749e-07,4.2309512776705975e-05
I1,N9,18,4.159451528389683,2.587394976125173e-07,0.19124029086487343
I1,N9,19,4.159451528389683,0.10991749083614935,3.549816404618339
I1,N9,20,4.159451528389683,1.379908560611346,0.006231379205532958
I1,N9,21,4.159451528389683,1.3705698914364535,3.3444683146996512
I1,N9,22,4.159451528389683,1.7333711705304036,0.33367813382636613
I1,N9,23,4.159451528389683,1.747240922191108,0.011879704082169037
I1,N9,24,4.159451528389683,1.7333378343440649,0.00675699302221237
I2,N1,1,0.0,0.0,0.0
I2,N1,2,0.0,0.0,0.0
I2,N1,3,0.0,0.0,0.0
I2,N1,4,0.0,0.0,0.0
I2,N1,5,0.0,0.0,0.0
I2,N1,6,0.0,0.0,0.0
I2,N1,7,0.0,0.0,0.0
I2,N1,8,0.0,0.0,0.0
I2,N1,9,0.0,0.0,0.0
I2,N1,10,0.0,0.0,0.0
I2,N1,11,0.0,0.0,0.0
I2,N1,12,0.0,0.0,0.0
I2,N1,13,0.0,0.0,0.0
I2,N1,14,0.0,0.0,0.0
I2,N1,15,0.0,0.0,0.0
I2,N1,16,0.0,0.0,0.0
I2,N1,17,0.0,0.0,0.0
I2,N1,18,0.0,0.0,0.0
I2,N1,19,0.0,0.0,0.0
I2,N1,20,0.0,0.0,0.0
I2,N1,21,0.0,0.0,0.0
I2,N1,22,0.0,0.0,0.0
I2,N1,23,0.0,0.0,0.0
I2,N1,24,0.0,0.0,0.0
I2,N2,1,0.0,0.0,0.0
I2,N2,2,0.0,0.0,0.0
I2,N2,3,0.0,0.0,0.0
I2,N2,4,0.0,0.0,0.0
I2,N2,5,0.0,0.0,0.0
I2,N2,6,0.0,0.0,0.0
I2,N2,7,0.0,0.0,0.0
I2,N2,8,0.0,0.0,0.0
I2,N2,9,0.0,0.0,0.0
I2,N2,10,0.0,0.0,0.0
I2,N2,11,0.0,0.0,0.0
I2,N2,12,0.0,0.0,0.0
I2,N2,13,0.0,0.0,0.0
I2,N2,14,0.0,0.0,0.0
I2,N2,15,0.0,0.0,0.0
I2,N2,16,0.0,0.0,0.0
I2,N2,17,0.0,0.0,0.0
I2,N2,18,0.0,0.0,0.0
I2,N2,19,0.0,0.0,0.0
I2,N2,20,0.0,0.0,0.0
I2,N2,21,0.0,0.0,0.0
I2,N2,22,0.0,0.0,0.0
I2,N2,23,0.0,0.0,0.0
I2,N2,24,0.0,0.0,0.0
I2,N3,1,12.665247345161731,5.009229356029228,0.005339354380841927
I2,N3,2,12.665247345161731,5.003100186094565,0.005045774485068395
I2,N3,3,12.665247345161731,4.998395668095885,0.004370276318471365
I2,N3,4,12.665247345161731,4.993322028104651,0.6241039166087474
I2,N3,5,12.665247345161731,4.9928224220426625,0.004553534325930175
I2,N3,6,12.665247345161731,4.98753216549788,0.005617953302697893
I2,N3,7,12.665247345161731,4.980799896488902,0.35680134262323
I2,N3,8,12.665247345161731,4.955589332763421,9.145488960679542
I2,N3,9,12.665247345161731,5.213767619890193,0.12245560901706234
I2,N3,10,12.665247345161731,5.216482199820011,1.7266571637383237e-07
I2,N3,11,12.665247345161731,5.216484144547885,1.582154809735685e-07
I2,N3,12,12.665247345161731,8.440804039333695,1.5025952762287743e-07
I2,N3,13,12.665247345161731,12.665247188797961,2.837650240166925
I2,N3,14,12.665247345161731,12.665247247116316,4.400667449053119
I2,N3,15,12.665247345161731,11.686919239594804,4.9231247668308304
I2,N3,16,12.665247345161731,1.9879648951904334e-07,4.938899246589035
I2,N3,17,12.665247345161731,1.6358096345495223e-07,0.9304925886842099
I2,N3,18,12.665247345161731,1.7273113990260364e-07,0.02331784137671176
I2,N3,19,12.665247345161731,0.010765606757613639,11.312994618475425
I2,N3,20,12.665247345161731,3.8362426819766053,0.005654552250225944
I2,N3,21,12.665247345161731,3.8323612554193636,11.0224744089703
I2,N3,22,12.665247345161731,4.707482894710775,7.279584826453472
I2,N3,23,12.665247345161731,5.002776326203734,0.3310753660723545
I2,N3,24,12.665247345161731,5.009749347076763,0.25280337474603654
I2,N4,1,0.0,0.0,0.0
I2,N4,2,0.0,0.0,0.0
I2,N4,3,0.0,0.0,0.0
I2,N4,4,0.0,0.0,0.0
I2,N4,5,0.0,0.0,0.0
I2,N4,6,0.0,0.0,0.0
I2,N4,7,0.0,0.0,0.0
I2,N4,8,0.0,0.0,0.0
I2,N4,9,0.0,0.0,0.0
I2,N4,10,0.0,0.0,0.0
I2,N4,11,0.0,0.0,0.0
I2,N4,12,0.0,0.0,0.0
I2,N4,13,0.0,0.0,0.0
I2,N4,14,0.0,0.0,0.0
I2,N4,15,0.0,0.0,0.0
I2,N4,16,0.0,0.0,0.0
I2,N4,17,0.0,0.0,0.0
I2,N4,18,0.0,0.0,0.0
I2,N4,19,0.0,0.0,0.0
I2,N4,20,0.0,0.0,0.0
I2,N4,21,0.0,0.0,0.0
I2,N4,22,0.0,0.0,0.0
I2,N4,23,0.0,0.0,0.0
I2,N4,24,0.0,0.0,0.0
I2,N5,1,0.0,0.0,0.0
I2,N5,2,0.0,0.0,0.0
I2,N5,3,0.0,0.0,0.0
I2,N5,4,0.0,0.0,0.0
I2,N5,5,0.0,0.0,0.0
I2,N5,6,0.0,0.0,0.0
I2,N5,7,0.0,0.0,0.0
I2,N5,8,0.0,0.0,0.0
I2,N5,9,0.0,0.0,0.0
I2,N5,10,0.0,0.0,0.0
I2,N5,11,0.0,0.0,0.0
I2,N5,12,0.0,0.0,0.0
I2,N5,13,0.0,0.0,0.0
I2,N5,14,0.0,0.0,0.0
I2,N5,15,0.0,0.0,0.0
I2,N5,16,0.0,0.0,0.0
I2,N5,17,0.0,0.0,0.0
I2,N5,18,0.0,0.0,0.0
I2,N5,19,0.0,0.0,0.0
I2,N5,20,0.0,0.0,0.0
I2,N5,21,0.0,0.0,0.0
I2,N5,22,0.0,0.0,0.0
I2,N5,23,0.0,0.0,0.0
I2,N5,24,0.0,0.0,0.0
I2,N6,1,11.01726032501606,4.642690947016494,0.006753625914818927
I2,N6,2,11.01726032501606,4.635647784078188,0.00592869305033121
I2,N6,3,11.01726032501606,4.63166122749549,0.005101276317466791
I2,N6,4,11.01726032501606,4.626223781617394,1.5195384592656336
I2,N6,5,11.01726032501606,4.625662819416917,0.0053156101312265645
I2,N6,6,11.01726032501606,4.620005691194242,0.6417772162753639
I2,N6,7,11.01726032501606,4.635456999711108,1.2209576670343332
I2,N6,8,11.01726032501606,4.683132943774818,6.866644758483472
I2,N6,9,11.01726032501606,4.783078574343627,0.5585948850526197
I2,N6,10,11.01726032501606,4.771701180446016,1.7801790468476488e-07
I2,N6,11,11.01726032501606,4.7716886340405,1.6022484544457243e-07
I2,N6,12,11.01726032501606,11.011947404201052,1.6204754151634305e-07
I2,N6,13,11.01726032501606,11.017260254829264,3.2698651383128157
I2,N6,14,11.01726032501606,10.922218815549972,4.256782007003686
I2,N6,15,11.01726032501606,5.45972447920273,4.5795378967831
I2,N6,16,11.01726032501606,1.5984359329512037,4.680675831182123
I2,N6,17,11.01726032501606,1.425148851340948e-07,2.343820761142792
I2,N6,18,11.01726032501606,1.557213396731473e-07,0.5209153955702202
