hour,node,tier,wtp_eur_per_mwh,shed_mw,bound_mw,xi_shed_dual
3,N4,T06_800,800.0,-9.942420859483612e-09,2.3724000000000003,-8.396267871034349e-09
3,N4,T07_1000,1000.0,-9.95444192356568e-09,2.3724000000000003,-8.396267870957163e-09
3,N4,T08_1300,1300.0,-9.965306582090645e-09,2.3724000000000003,-8.39626787088733e-09
3,N4,T09_1600,1600.0,-9.971987083114232e-09,2.3724000000000003,-8.39626787084435e-09
3,N4,T10_2000,2000.0,-9.977709929892094e-09,2.3724000000000003,-8.396267870807516e-09
3,N4,T_VOLL,10000.0,-9.995617249048802e-09,213.51600000000002,9.795597023659243e-09
3,N5,T01_100,100.0,-9.247149894602719e-09,0.3954,-1.0037760739310555e-07
3,N5,T02_200,200.0,-9.72372544715523e-09,0.3954,-1.0037760728751568e-07
3,N5,T03_300,300.0,-9.830820737404619e-09,0.3954,-1.0037760726314882e-07
3,N5,T04_450,450.0,-9.893023450915897e-09,0.3954,-1.003776072488853e-07
3,N5,T05_600,600.0,-9.921782093862382e-09,0.3954,-1.0037760724226297e-07
3,N5,T06_800,800.0,-9.942420859489485e-09,0.3954,-1.0037760723749952e-07
3,N5,T07_1000,1000.0,-9.954441923569358e-09,0.3954,-1.0037760723472085e-07
3,N5,T08_1300,1300.0,-9.965306582092778e-09,0.3954,-1.0037760723220682e-07
3,N5,T09_1600,1600.0,-9.971987083115622e-09,0.3954,-1.0037760723065972e-07
3,N5,T10_2000,2000.0,-9.977709929892974e-09,0.3954,-1.0037760722933362e-07
3,N5,T_VOLL,10000.0,-9.995617249048802e-09,35.586,8.773582141955367e-09
4,N1,T01_100,100.0,-9.247149894671488e-09,0.378,-1.054584813923786e-07
4,N1,T02_200,200.0,-9.72372544716449e-09,0.378,-1.05458481276844e-07
4,N1,T03_300,300.0,-9.830820737408091e-09,0.378,-1.0545848125018222e-07
4,N1,T04_450,450.0,-9.893023450917285e-09,0.378,-1.0545848123457535e-07
4,N1,T05_600,600.0,-9.921782093863125e-09,0.378,-1.0545848122732927e-07
4,N1,T06_800,800.0,-9.942420859489887e-09,0.378,-1.054584812221172e-07
4,N1,T07_1000,1000.0,-9.95444192356961e-09,0.378,-1.0545848121907683e-07
4,N1,T08_1300,1300.0,-9.965306582092923e-09,0.378,-1.0545848121632601e-07
4,N1,T09_1600,1600.0,-9.971987083115717e-09,0.378,-1.054584812146332e-07
4,N1,T10_2000,2000.0,-9.977709929893034e-09,0.378,-1.0545848121318222e-07
4,N1,T_VOLL,10000.0,-9.995617249048804e-09,34.019999999999996,8.717127986585054e-09
4,N2,T01_100,100.0,-9.247149893622499e-09,2.2680000000000002,-9.24308020635299e-09
4,N2,T02_200,200.0,-9.72372544702322e-09,2.2680000000000002,-9.243080203143701e-09
4,N2,T03_300,300.0,-9.830820737355117e-09,2.2680000000000002,-9.243080202403093e-09
4,N2,T04_450,450.0,-9.893023450896104e-09,2.2680000000000002,-9.243080201969571e-09
4,N2,T05_600,600.0,-9.921782093851801e-09,2.2680000000000002,-9.243080201768292e-09
4,N2,T06_800,800.0,-9.942420859483751e-09,2.2680000000000002,-9.243080201623514e-09
4,N2,T07_1000,1000.0,-9.954441923565768e-09,2.2680000000000002,-9.243080201539058e-09
4,N2,T08_1300,1300.0,-9.965306582090696e-09,2.2680000000000002,-9.243080201462647e-09
4,N2,T09_1600,1600.0,-9.971987083114265e-09,2.2680000000000002,-9.243080201415623e-09
4,N2,T10_2000,2000.0,-9.977709929892114e-09,2.2680000000000002,-9.24308020137532e-09
4,N2,T_VOLL,10000.0,-9.995617249048802e-09,204.12,9.786187997764191e-09
4,N3,T01_100,100.0,-9.24714989359738e-09,2.2680000000000002,-9.243080206352988e-09
4,N3,T02_200,200.0,-9.723725447019836e-09,2.2680000000000002,-9.243080203143701e-09
4,N3,T03_300,300.0,-9.830820737353848e-09,2.2680000000000002,-9.243080202403097e-09
4,N3,T04_450,450.0,-9.893023450895596e-09,2.2680000000000002,-9.243080201969571e-09
4,N3,T05_600,600.0,-9.92178209385153e-09,2.2680000000000002,-9.243080201768293e-09
4,N3,T06_800,800.0,-9.942420859483604e-09,2.2680000000000002,-9.243080201623514e-09
4,N3,T07_1000,1000.0,-9.954441923565675e-09,2.2680000000000002,-9.243080201539057e-09
4,N3,T08_1300,1300.0,-9.965306582090642e-09,2.2680000000000002,-9.243080201462648e-09
4,N3,T09_1600,1600.0,-9.97198708311423e-09,2.2680000000000002,-9.243080201415623e-09
4,N3,T10_2000,2000.0,-9.977709929892092e-09,2.2680000000000002,-9.243080201375318e-09
4,N3,T_VOLL,10000.0,-9.995617249048802e-09,204.12,9.786187997764191e-09
4,N4,T01_100,100.0,-9.247149893617698e-09,2.2680000000000002,-9.243080206353005e-09
4,N4,T02_200,200.0,-9.723725447022573e-09,2.2680000000000002,-9.24308020314372e-09
4,N4,T03_300,300.0,-9.830820737354874e-09,2.2680000000000002,-9.243080202403113e-09
4,N4,T04_450,450.0,-9.893023450896007e-09,2.2680000000000002,-9.243080201969588e-09
4,N4,T05_600,600.0,-9.92178209385175e-09,2.2680000000000002,-9.24308020176831e-09
4,N4,T06_800,800.0,-9.942420859483723e-09,2.2680000000000002,-9.24308020162353e-09
4,N4,T07_1000,1000.0,-9.95444192356575e-09,2.2680000000000002,-9.243080201539077e-09
4,N4,T08_1300,1300.0,-9.965306582090685e-09,2.2680000000000002,-9.243080201462665e-09
4,N4,T09_1600,1600.0,-9.971987083114258e-09,2.2680000000000002,-9.24308020141564e-09
4,N4,T10_2000,2000.0,-9.97770992989211e-09,2.2680000000000002,-9.243080201375335e-09
4,N4,T_VOLL,10000.0,-9.995617249048802e-09,204.12,9.786187997764191e-09
4,N5,T01_100,100.0,-9.247149894666123e-09,0.378,-1.0545848139237847e-07
4,N5,T02_200,200.0,-9.723725447163769e-09,0.378,-1.0545848127684388e-07
4,N5,T03_300,300.0,-9.830820737407822e-09,0.378,-1.054584812501821e-07
4,N5,T04_450,450.0,-9.893023450917178e-09,0.378,-1.054584812345752e-07
4,N5,T05_600,600.0,-9.921782093863067e-09,0.378,-1.0545848122732914e-07
4,N5,T06_800,800.0,-9.942420859489856e-09,0.378,-1.0545848122211708e-07
4,N5,T07_1000,1000.0,-9.95444192356959e-09,0.378,-1.0545848121907668e-07
4,N5,T08_1300,1300.0,-9.965306582092912e-09,0.378,-1.0545848121632589e-07
4,N5,T09_1600,1600.0,-9.97198708311571e-09,0.378,-1.0545848121463307e-07
4,N5,T10_2000,2000.0,-9.977709929893029e-09,0.378,-1.054584812131821e-07
4,N5,T_VOLL,10000.0,-9.995617249048802e-09,34.019999999999996,8.717127986585054e-09
5,N1,T01_100,100.0,-9.24714989464051e-09,0.3858,-1.0312417305573241e-07
5,N1,T02_200,200.0,-9.723725447160318e-09,0.3858,-1.0312417294482231e-07
5,N1,T03_300,300.0,-9.830820737406528e-09,0.3858,-1.031241729192277e-07
5,N1,T04_450,450.0,-9.89302345091666e-09,0.3858,-1.0312417290424552e-07
5,N1,T05_600,600.0,-9.92178209386279e-09,0.3858,-1.031241728972895e-07
5,N1,T06_800,800.0,-9.942420859489707e-09,0.3858,-1.0312417289228603e-07
5,N1,T07_1000,1000.0,-9.954441923569495e-09,0.3858,-1.0312417288936736e-07
5,N1,T08_1300,1300.0,-9.965306582092857e-09,0.3858,-1.0312417288672665e-07
5,N1,T09_1600,1600.0,-9.971987083115674e-09,0.3858,-1.0312417288510158e-07
5,N1,T10_2000,2000.0,-9.977709929893007e-09,0.3858,-1.0312417288370869e-07
5,N1,T_VOLL,10000.0,-9.995617249048802e-09,34.722,8.743064745798732e-09
5,N2,T01_100,100.0,-9.24714989361269e-09,2.3148,-8.854028817942441e-09
5,N2,T02_200,200.0,-9.723725447021898e-09,2.3148,-8.85402881486161e-09
5,N2,T03_300,300.0,-9.830820737354622e-09,2.3148,-8.85402881415065e-09
5,N2,T04_450,450.0,-9.893023450895906e-09,2.3148,-8.854028813734479e-09
5,N2,T05_600,600.0,-9.921782093851695e-09,2.3148,-8.854028813541256e-09
5,N2,T06_800,800.0,-9.942420859483695e-09,2.3148,-8.854028813402272e-09
5,N2,T07_1000,1000.0,-9.954441923565732e-09,2.3148,-8.854028813321196e-09
5,N2,T08_1300,1300.0,-9.965306582090675e-09,2.3148,-8.854028813247844e-09
5,N2,T09_1600,1600.0,-9.97198708311425e-09,2.3148,-8.854028813202706e-09
5,N2,T10_2000,2000.0,-9.977709929892106e-09,2.3148,-8.854028813164009e-09
5,N2,T_VOLL,10000.0,-9.995617249048802e-09,208.332,9.79051079096647e-09
5,N3,T01_100,100.0,-9.247149893583871e-09,2.3148,-8.854028817942441e-09
5,N3,T02_200,200.0,-9.723725447018018e-09,2.3148,-8.854028814861614e-09
5,N3,T03_300,300.0,-9.830820737353167e-09,2.3148,-8.854028814150649e-09
5,N3,T04_450,450.0,-9.893023450895323e-09,2.3148,-8.854028813734477e-09
5,N3,T05_600,600.0,-9.921782093851384e-09,2.3148,-8.854028813541256e-09
5,N3,T06_800,800.0,-9.942420859483526e-09,2.3148,-8.854028813402272e-09
5,N3,T07_1000,1000.0,-9.954441923565626e-09,2.3148,-8.854028813321196e-09
5,N3,T08_1300,1300.0,-9.965306582090614e-09,2.3148,-8.854028813247844e-09
5,N3,T09_1600,1600.0,-9.97198708311421e-09,2.3148,-8.854028813202703e-09
5,N3,T10_2000,2000.0,-9.97770992989208e-09,2.3148,-8.85402881316401e-09
5,N3,T_VOLL,10000.0,-9.9956172490488e-09,208.332,9.79051079096647e-09
5,N4,T01_100,100.0,-9.247149893606402e-09,2.3148,-8.854028817942463e-09
5,N4,T02_200,200.0,-9.723725447021052e-09,2.3148,-8.854028814861635e-09
5,N4,T03_300,300.0,-9.830820737354305e-09,2.3148,-8.854028814150677e-09
5,N4,T04_450,450.0,-9.893023450895778e-09,2.3148,-8.854028813734504e-09
5,N4,T05_600,600.0,-9.921782093851627e-09,2.3148,-8.854028813541278e-09
5,N4,T06_800,800.0,-9.942420859483657e-09,2.3148,-8.854028813402295e-09
5,N4,T07_1000,1000.0,-9.954441923565709e-09,2.3148,-8.85402881332122e-09
5,N4,T08_1300,1300.0,-9.965306582090662e-09,2.3148,-8.854028813247869e-09
5,N4,T09_1600,1600.0,-9.971987083114242e-09,2.3148,-8.854028813202728e-09
5,N4,T10_2000,2000.0,-9.9777099298921e-09,2.3148,-8.854028813164037e-09
5,N4,T_VOLL,10000.0,-9.995617249048802e-09,208.332,9.79051079096647e-09
5,N5,T01_100,100.0,-9.247149894634721e-09,0.3858,-1.0312417305573205e-07
5,N5,T02_200,200.0,-9.723725447159539e-09,0.3858,-1.0312417294482194e-07
5,N5,T03_300,300.0,-9.830820737406235e-09,0.3858,-1.0312417291922734e-07
5,N5,T04_450,450.0,-9.893023450916544e-09,0.3858,-1.0312417290424513e-07
5,N5,T05_600,600.0,-9.921782093862728e-09,0.3858,-1.031241728972891e-07
5,N5,T06_800,800.0,-9.942420859489672e-09,0.3858,-1.0312417289228566e-07
5,N5,T07_1000,1000.0,-9.954441923569476e-09,0.3858,-1.0312417288936696e-07
5,N5,T08_1300,1300.0,-9.965306582092845e-09,0.3858,-1.0312417288672627e-07
5,N5,T09_1600,1600.0,-9.971987083115666e-09,0.3858,-1.0312417288510121e-07
5,N5,T10_2000,2000.0,-9.977709929893002e-09,0.3858,-1.0312417288370832e-07
5,N5,T_VOLL,10000.0,-9.995617249048802e-09,34.722,8.743064745798732e-09
6,N1,T01_100,100.0,-9.247149894387839e-09,0.4236,-9.302952303769411e-08
6,N1,T02_200,200.0,-9.723725447126291e-09,0.4236,-9.302952294569502e-08
6,N1,T03_300,300.0,-9.830820737393768e-09,0.4236,-9.30295229244645e-08
6,N1,T04_450,450.0,-9.893023450911558e-09,0.4236,-9.302952291203687e-08
6,N1,T05_600,600.0,-9.921782093860063e-09,0.4236,-9.302952290626691e-08
6,N1,T06_800,800.0,-9.942420859488228e-09,0.4236,-9.302952290211658e-08
6,N1,T07_1000,1000.0,-9.95444192356857e-09,0.4236,-9.302952289969555e-08
6,N1,T08_1300,1300.0,-9.965306582092321e-09,0.4236,-9.30295228975051e-08
6,N1,T09_1600,1600.0,-9.971987083115324e-09,0.4236,-9.302952289615715e-08
6,N1,T10_2000,2000.0,-9.977709929892786e-09,0.4236,-9.302952289500173e-08
6,N1,T_VOLL,10000.0,-9.995617249048797e-09,38.124,8.855227523439933e-09
6,N2,T01_100,100.0,-9.24714989346011e-09,2.5416,-7.1715871524844034e-09
6,N2,T02_200,200.0,-9.72372544700135e-09,2.5416,-7.171587149928877e-09
6,N2,T03_300,300.0,-9.830820737346916e-09,2.5416,-7.171587149339139e-09
6,N2,T04_450,450.0,-9.893023450892825e-09,2.5416,-7.171587148993928e-09
6,N2,T05_600,600.0,-9.921782093850047e-09,2.5416,-7.1715871488336526e-09
6,N2,T06_800,800.0,-9.942420859482802e-09,2.5416,-7.171587148718367e-09
6,N2,T07_1000,1000.0,-9.954441923565173e-09,2.5416,-7.1715871486511145e-09
6,N2,T08_1300,1300.0,-9.96530658209035e-09,2.5416,-7.1715871485902695e-09
6,N2,T09_1600,1600.0,-9.97198708311404e-09,2.5416,-7.171587148552827e-09
6,N2,T10_2000,2000.0,-9.977709929891972e-09,2.5416,-7.1715871485207285e-09
6,N2,T_VOLL,10000.0,-9.995617249048797e-09,228.744,9.80920458724e-09
6,N3,T01_100,100.0,-9.247149893420375e-09,2.5416,-7.171587152484403e-09
6,N3,T02_200,200.0,-9.723725446995999e-09,2.5416,-7.171587149928878e-09
6,N3,T03_300,300.0,-9.83082073734491e-09,2.5416,-7.171587149339139e-09
6,N3,T04_450,450.0,-9.893023450892023e-09,2.5416,-7.171587148993927e-09
6,N3,T05_600,600.0,-9.921782093849619e-09,2.5416,-7.171587148833652e-09
6,N3,T06_800,800.0,-9.94242085948257e-09,2.5416,-7.171587148718366e-09
6,N3,T07_1000,1000.0,-9.954441923565027e-09,2.5416,-7.1715871486511145e-09
6,N3,T08_1300,1300.0,-9.965306582090266e-09,2.5416,-7.171587148590269e-09
6,N3,T09_1600,1600.0,-9.971987083113984e-09,2.5416,-7.171587148552827e-09
6,N3,T10_2000,2000.0,-9.977709929891937e-09,2.5416,-7.171587148520731e-09
6,N3,T_VOLL,10000.0,-9.995617249048795e-09,228.744,9.80920458724e-09
