fleet,case,gamma,node,hour,lambda_eur_per_mwh,hard_min_norm_lambda_eur_per_mwh,lambda_difference_eur_per_mwh,balance_residual_mw
with_penalty,hard_min_norm,,N6,14,29.88544578219043,29.88544578219043,0.0,0.0
with_penalty,hard_min_norm,,N6,15,29.88544584690174,29.88544584690174,0.0,0.0
with_penalty,hard_min_norm,,N6,16,29.885445856692808,29.885445856692808,0.0,0.0
with_penalty,hard_min_norm,,N6,17,52.200000511982395,52.200000511982395,0.0,0.0
with_penalty,hard_min_norm,,N6,18,60.00000058951205,60.00000058951205,0.0,0.0
with_penalty,hard_min_norm,,N6,19,60.0000005901019,60.0000005901019,0.0,0.0
with_penalty,hard_min_norm,,N6,20,60.00000059035798,60.00000059035798,0.0,0.0
with_penalty,hard_min_norm,,N6,21,60.00000059018097,60.00000059018097,0.0,0.0
with_penalty,hard_min_norm,,N6,22,60.000000590054185,60.000000590054185,0.0,0.0
with_penalty,hard_min_norm,,N6,23,60.000000589993476,60.000000589993476,0.0,0.0
with_penalty,hard_min_norm,,N6,24,60.00000058993272,60.00000058993272,0.0,0.0
with_penalty,hard_min_norm,,N7,1,60.00000058980159,60.00000058980159,0.0,0.0
with_penalty,hard_min_norm,,N7,2,60.00000058926714,60.00000058926714,0.0,0.0
with_penalty,hard_min_norm,,N7,3,60.00000058563634,60.00000058563634,0.0,0.0
with_penalty,hard_min_norm,,N7,4,60.000000461724845,60.000000461724845,0.0,0.0
with_penalty,hard_min_norm,,N7,5,60.00000058788229,60.00000058788229,0.0,0.0
with_penalty,hard_min_norm,,N7,6,60.0000005898432,60.0000005898432,0.0,0.0
with_penalty,hard_min_norm,,N7,7,60.00000058998127,60.00000058998127,0.0,0.0
with_penalty,hard_min_norm,,N7,8,60.00000058998901,60.00000058998901,0.0,0.0
with_penalty,hard_min_norm,,N7,9,60.0000005896273,60.0000005896273,0.0,0.0
with_penalty,hard_min_norm,,N7,10,52.20000051208404,52.20000051208404,0.0,0.0
with_penalty,hard_min_norm,,N7,11,52.20000051194917,52.20000051194917,0.0,0.0
with_penalty,hard_min_norm,,N7,12,52.20000051192977,52.20000051192977,0.0,0.0
with_penalty,hard_min_norm,,N7,13,52.20000051189604,52.20000051189604,0.0,0.0
with_penalty,hard_min_norm,,N7,14,52.200000511851165,52.200000511851165,0.0,0.0
with_penalty,hard_min_norm,,N7,15,52.2000005117942,52.2000005117942,0.0,0.0
with_penalty,hard_min_norm,,N7,16,52.20000051181502,52.20000051181502,0.0,0.0
with_penalty,hard_min_norm,,N7,17,52.20000051203872,52.20000051203872,0.0,0.0
with_penalty,hard_min_norm,,N7,18,60.000000589507195,60.000000589507195,0.0,0.0
with_penalty,hard_min_norm,,N7,19,60.000000590098104,60.000000590098104,0.0,0.0
with_penalty,hard_min_norm,,N7,20,60.000000590357544,60.000000590357544,0.0,0.0
with_penalty,hard_min_norm,,N7,21,60.000000590172604,60.000000590172604,0.0,0.0
with_penalty,hard_min_norm,,N7,22,60.000000590036336,60.000000590036336,0.0,0.0
with_penalty,hard_min_norm,,N7,23,60.00000058997,60.00000058997,0.0,0.0
with_penalty,hard_min_norm,,N7,24,60.0000005899064,60.0000005899064,0.0,0.0
with_penalty,hard_min_norm,,N8,1,60.00000058981879,60.00000058981879,0.0,0.0
with_penalty,hard_min_norm,,N8,2,60.00000058928515,60.00000058928515,0.0,0.0
with_penalty,hard_min_norm,,N8,3,60.00000058565613,60.00000058565613,0.0,0.0
with_penalty,hard_min_norm,,N8,4,60.000000461745984,60.000000461745984,0.0,0.0
with_penalty,hard_min_norm,,N8,5,60.00000058790113,60.00000058790113,0.0,0.0
with_penalty,hard_min_norm,,N8,6,60.00000058985936,60.00000058985936,0.0,0.0
with_penalty,hard_min_norm,,N8,7,60.00000058999376,60.00000058999376,0.0,0.0
with_penalty,hard_min_norm,,N8,8,60.00000058999242,60.00000058999242,0.0,0.0
with_penalty,hard_min_norm,,N8,9,60.00000058961056,60.00000058961056,0.0,0.0
