hour,node,p_charge_mw,p_discharge_mw,soc_mwh,lambda_eur_per_mwh
8,N5,1.456427975665973e-07,11.174320536211614,13.401235458892996,74.99999999040026
8,N6,1.4564279753310658e-07,14.232042667980568,16.425103564485,74.99999996595406
8,N7,1.4564279782012055e-07,16.563329733055703,18.51775120755438,74.99999996362904
8,N8,1.4564279772960759e-07,66.12980583009063,36.54761048839761,74.99999995927598
8,N9,1.456427973155081e-07,10.297351744339094,12.441982534225918,74.99999999022732
9,N1,1.4564279706657092e-07,13.995937671641132,1.5113554900401485e-06,74.9999998070473
9,N2,1.4564279696633524e-07,12.769718834354352,1.5113556991631902e-06,74.99999980550801
9,N3,1.456427970423299e-07,13.626116927078968,1.5113555625996294e-06,74.99999981953063
9,N4,1.4564279709664332e-07,13.049506025180106,1.5113556067407868e-06,74.99999983108017
9,N5,1.456427972145965e-07,12.543555102491966,1.5113557149660973e-06,74.99999984271308
9,N6,1.4564279738432472e-07,15.37389564932686,1.5113548840857736e-06,74.99999982174711
9,N7,1.4564279781536313e-07,17.332613843240104,1.5113545601418498e-06,74.99999981524107
9,N8,1.456427981911015e-07,34.20856213010974,1.5113541626311494e-06,74.99999978720892
9,N9,1.4564279690903243e-07,11.645694365001694,1.511357733850873e-06,74.99999983197715
10,N1,6.392618279875844e-07,1.9843127566789326e-07,1.897705334895616e-06,55.000000250939
10,N2,6.392627043817956e-07,1.9843112950164388e-07,1.8977065204841621e-06,55.0000002509188
10,N3,6.392618885565873e-07,1.9843126233124251e-07,1.8977054783962422e-06,55.00000026277293
10,N4,6.39262059691561e-07,1.9843123662271646e-07,1.8977057101861084e-06,55.000000269199944
10,N5,6.392622775206291e-07,1.9843120568051264e-07,1.8977060553573373e-06,55.00000027847626
10,N6,6.392620793618337e-07,1.984312715620728e-07,1.8977049686140988e-06,55.000000262983775
10,N7,6.392623052815602e-07,1.9843124316284602e-07,1.8977048864720932e-06,55.00000026602601
10,N8,6.392622919110656e-07,1.984311921142623e-07,1.8977045309856952e-06,55.00000024925483
10,N9,6.392656532230408e-07,1.9843069474707982e-07,1.8977117797686222e-06,55.000000273716466
11,N1,4.824038652416609e-07,2.2597655984800587e-07,2.107807404206249e-06,54.99999973842466
11,N2,4.824023716122468e-07,2.2597706997512667e-07,2.107806646750056e-06,54.99999974345219
11,N3,4.824036802370757e-07,2.2597663539552117e-07,2.1078072938294257e-06,54.99999975354803
11,N4,4.82403363213658e-07,2.2597675544167863e-07,2.1078071006309314e-06,54.999999767069376
11,N5,4.824028929017438e-07,2.2597692253325798e-07,2.107806827073564e-06,54.99999977000388
11,N6,4.824042454176341e-07,2.2597637352131724e-07,2.1078075928364175e-06,54.99999974232402
11,N7,4.824043496580484e-07,2.2597629984367204e-07,2.1078076869788725e-06,54.99999974042705
11,N8,4.824043195042066e-07,2.2597626510522872e-07,2.1078073403822002e-06,54.99999968207101
11,N9,4.823962751165979e-07,2.2597868480039408e-07,2.107804474473918e-06,54.99999976064259
12,N1,11.92020847965071,1.5113283609475138e-07,11.157317083293764,46.00793686652495
12,N2,10.251834670184733,1.511328354502582e-07,9.595719197632851,46.007937132907806
12,N3,11.510052472248175,1.5113283591565634e-07,10.77341106036488,46.007936946330474
12,N4,11.188435006391702,1.5113283566795906e-07,10.47237711232303,46.007937060515545
12,N5,10.970727134129955,1.5113283519359072e-07,10.26860254388576,46.00793713651477
12,N6,14.674567965708952,1.5113283632077839e-07,13.735397562244469,46.00793660951882
12,N7,18.235231901108488,1.511328361268618e-07,17.068179005778525,46.007936359909785
12,N8,48.99079127037955,1.5113284150186473e-07,45.855382575415895,46.007934852679575
12,N9,9.758164258365493,1.51132835549738e-07,9.133643692167869,46.00793718965855
13,N1,18.337891072568457,1.5113283283773992e-07,28.321582965751137,46.007936127799866
13,N2,16.138564361060663,1.5113283173837038e-07,24.70141527811893,46.00793636585717
13,N3,17.715933436345942,1.5113283256942717e-07,27.355524595317984,46.0079362030243
13,N4,17.271010858888726,1.5113283219351924e-07,26.638043114776178,46.00793631059929
13,N5,17.05950648961192,1.5113283118131535e-07,26.23630045669582,46.00793636359405
13,N6,22.227916346939892,1.5113283290554813e-07,34.54072710151351,46.00793588137448
13,N7,27.10618629083433,1.5113283208814398e-07,42.43956921253276,46.007935657130126
13,N8,116.30933812255626,1.5113284132246546e-07,154.72092289666185,46.00793434889371
13,N9,16.333667149361585,1.5113283141537882e-07,24.42195598250361,46.007936288502634
14,N1,23.75510244744629,1.3734909882689617e-07,50.55635870982038,43.89686595877242
14,N2,21.449970741232516,1.3734910607733353e-07,44.778587745172075,43.89686776070477
14,N3,23.121729568388826,1.373491006735011e-07,48.99746332458943,43.89686642617046
14,N4,22.49202445549895,1.3734910286269527e-07,47.6905778583827,43.896866987124206
14,N5,21.939358035162044,1.3734910414965564e-07,46.771539430866994,43.89686753703152
