scenario,probability,hour,node,p_charge_mw,p_discharge_mw,soc_mwh
base,0.5,18,N1,0.0,0.0,-0.0
base,0.5,18,N2,0.0,0.0,-0.0
base,0.5,18,N3,0.0,0.0,-0.0
base,0.5,18,N4,0.0,0.0,-0.0
base,0.5,18,N5,0.0,-0.0,-0.0
base,0.5,18,N6,0.0,0.0,127.98825720353129
base,0.5,18,N7,0.0,0.0,-0.0
base,0.5,18,N8,0.0,0.0,51.60377618035733
base,0.5,18,N9,0.0,0.0,125.6319506161124
base,0.5,19,N1,0.0,-0.0,-0.0
base,0.5,19,N2,0.0,-0.0,-0.0
base,0.5,19,N3,0.0,0.0,-0.0
base,0.5,19,N4,0.0,0.0,-0.0
base,0.5,19,N5,0.0,-0.0,-0.0
base,0.5,19,N6,0.0,0.0,127.98825720353129
base,0.5,19,N7,0.0,0.0,-0.0
base,0.5,19,N8,0.0,0.0,51.60377618035733
base,0.5,19,N9,0.0,1.8991250000000264,123.60297091525767
base,0.5,20,N1,0.0,-0.0,-0.0
base,0.5,20,N2,0.0,-0.0,-0.0
base,0.5,20,N3,0.0,0.0,-0.0
base,0.5,20,N4,0.0,-0.0,-0.0
base,0.5,20,N5,0.0,-0.0,-0.0
base,0.5,20,N6,0.0,33.44075000000002,92.26096019498425
base,0.5,20,N7,0.0,0.0,-0.0
base,0.5,20,N8,0.0,0.0,51.60377618035733
base,0.5,20,N9,0.0,0.0,123.60297091525767
base,0.5,21,N1,0.0,-0.0,-0.0
base,0.5,21,N2,0.0,-0.0,-0.0
base,0.5,21,N3,0.0,-0.0,0.0
base,0.5,21,N4,0.0,-0.0,0.0
base,0.5,21,N5,0.0,-0.0,0.0
base,0.5,21,N6,0.0,44.07026691176529,45.17734169950852
base,0.5,21,N7,0.0,-0.0,-0.0
base,0.5,21,N8,0.0,48.30113450481446,0.0
base,0.5,21,N9,0.0,93.1931929096637,24.037593875018686
base,0.5,22,N1,0.0,-0.0,-0.0
base,0.5,22,N2,0.0,0.0,-0.0
base,0.5,22,N3,0.0,0.0,-0.0
base,0.5,22,N4,0.0,0.0,-0.0
base,0.5,22,N5,0.0,0.0,-0.0
base,0.5,22,N6,0.0,0.0,45.17734169950852
base,0.5,22,N7,0.0,0.0,-0.0
base,0.5,22,N8,0.0,0.0,-0.0
base,0.5,22,N9,0.0,0.0,24.037593875018686
base,0.5,23,N1,0.0,-0.0,-0.0
base,0.5,23,N2,0.0,-0.0,0.0
base,0.5,23,N3,0.0,-0.0,0.0
base,0.5,23,N4,0.0,-0.0,0.0
base,0.5,23,N5,0.0,-0.0,-0.0
base,0.5,23,N6,0.0,42.285991830739974,0.0
base,0.5,23,N7,0.0,-0.0,0.0
base,0.5,23,N8,0.0,-0.0,0.0
base,0.5,23,N9,0.0,4.531062867017533,19.1967147435897
base,0.5,24,N1,0.0,-0.0,0.0
base,0.5,24,N2,0.0,-0.0,0.0
base,0.5,24,N3,0.0,0.0,-0.0
base,0.5,24,N4,0.0,-0.0,0.0
base,0.5,24,N5,0.0,0.0,-0.0
base,0.5,24,N6,0.0,0.0,-0.0
base,0.5,24,N7,0.0,-0.0,-0.0
base,0.5,24,N8,0.0,0.0,-0.0
base,0.5,24,N9,0.0,0.0,19.1967147435897
high,0.25,1,N1,0.0,0.0,-0.0
high,0.25,1,N2,0.0,0.0,0.0
high,0.25,1,N3,0.0,0.0,-0.0
high,0.25,1,N4,0.0,-0.0,-0.0
high,0.25,1,N5,0.0,-0.0,0.0
high,0.25,1,N6,0.0,-0.0,-0.0
high,0.25,1,N7,0.0,-0.0,-0.0
high,0.25,1,N8,0.0,0.0,-0.0
high,0.25,1,N9,0.0,0.0,-0.0
high,0.25,2,N1,0.0,0.0,-0.0
high,0.25,2,N2,0.0,-0.0,-0.0
high,0.25,2,N3,0.0,0.0,-0.0
high,0.25,2,N4,0.0,0.0,-0.0
high,0.25,2,N5,0.0,-0.0,0.0
high,0.25,2,N6,0.0,0.0,-0.0
high,0.25,2,N7,0.0,-0.0,-0.0
high,0.25,2,N8,0.0,0.0,-0.0
high,0.25,2,N9,0.0,0.0,-0.0
high,0.25,3,N1,0.0,0.0,-0.0
high,0.25,3,N2,0.0,-0.0,-0.0
high,0.25,3,N3,0.0,0.0,0.0
high,0.25,3,N4,0.0,0.0,0.0
high,0.25,3,N5,0.0,-0.0,-0.0
high,0.25,3,N6,0.0,0.0,0.0
high,0.25,3,N7,0.0,0.0,-0.0
high,0.25,3,N8,0.0,0.0,0.0
high,0.25,3,N9,0.0,0.0,-0.0
high,0.25,4,N1,0.0,0.0,-0.0
high,0.25,4,N2,0.0,-0.0,-0.0
high,0.25,4,N3,0.0,0.0,-0.0
high,0.25,4,N4,0.0,0.0,-0.0
