investor,hour,node,lambda_best_response_eur_per_mwh,lambda_joint_eur_per_mwh,difference_eur_per_mwh
I1,15,N1,52.20000050745241,59.99999851804782,-7.799998010595409
I1,15,N2,52.200000511601694,52.19999999965993,5.119417636478829e-07
I1,15,N3,2.3233393378770884e-09,35.298942998282655,-35.298942995959315
I1,15,N4,52.200000507459514,59.999998518053886,-7.799998010594372
I1,15,N5,52.200000508938906,57.30487707881252,-5.1048765698736105
I1,15,N6,5.212100222941105e-09,29.908700119742065,-29.908700114529964
I1,15,N7,52.20000051160495,52.19999999966271,5.119422397115159e-07
I1,15,N8,5.614518303034893e-10,38.49503995210953,-38.49503995154808
I1,15,N9,2.3188932633044018e-09,35.29894299827907,-35.298942995960175
I1,16,N1,60.00000057977925,59.99999999234176,5.874374835457274e-07
I1,16,N2,52.20000051164027,52.19999999969108,5.119491888194716e-07
I1,16,N3,5.390243980753743,35.298944033984384,-29.90870005323064
I1,16,N4,60.00000057978761,59.999999992348926,5.874386843629509e-07
I1,16,N5,57.30487860507232,57.304878043709955,5.613623628164532e-07
I1,16,N6,3.1266108139211306e-08,29.908700136657455,-29.908700105391347
I1,16,N7,52.20000051164384,52.199999999694114,5.119497288319508e-07
I1,16,N8,8.586341569621192,38.49504159192427,-29.90870002230308
I1,16,N9,5.390243980753751,35.29894403398437,-29.908700053230618
I1,17,N1,52.20000051221361,52.200000000182406,5.120312067674604e-07
I1,17,N2,52.20000051204225,52.20000000003609,5.120061601360248e-07
I1,17,N3,52.20000051198293,52.19999999998542,5.119975057255033e-07
I1,17,N4,52.20000051222297,52.20000000019039,5.120325781149404e-07
I1,17,N5,52.200000512225,52.20000000019213,5.120328765428894e-07
I1,17,N6,52.200000511966536,52.199999999971425,5.119951111964838e-07
I1,17,N7,52.20000051207525,52.20000000006427,5.120109776157733e-07
I1,17,N8,52.20000051198646,52.19999999998844,5.11998017316273e-07
I1,17,N9,52.20000051198293,52.19999999998542,5.119975057255033e-07
