investor,hour,node,installed_power_mw,charge_offer_mw,charge_bid_price_eur_per_mwh,accepted_charge_mw,discharge_offer_mw,discharge_offer_price_eur_per_mwh,accepted_discharge_mw,joint_lambda_eur_per_mwh
I1,24,N4,6.36570040231157e-05,3.18264544902519e-05,-7.5,6.337005463670184e-07,3.181792198313149e-05,7.5,9.171523911242867e-07,67.14999996414461
I1,24,N5,6.365530554376046e-05,3.1823434828360544e-05,-7.5,6.975707138570676e-07,3.1821899984491505e-05,7.5,7.734000044563909e-07,67.1500000829776
I1,24,N6,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.14999998038263
I1,24,N7,0.0,0.0,-7.5,0.0,0.0,7.5,0.0,67.1500000760946
I1,24,N8,6.365569551662606e-05,3.184172914041422e-05,-7.5,5.845099042055727e-07,3.1813283266163376e-05,7.5,1.3415349127269766e-06,67.1500000444339
I1,24,N9,6.36433206638029e-05,3.1821906486275866e-05,-7.5,5.969475598725075e-07,3.180387523587415e-05,7.5,1.1554935661774144e-06,67.14999997869752
I4,1,N1,6.721549393519243e-05,3.729450888243482e-05,-7.5,6.372808551846311e-07,3.7303440109421893e-05,7.5,9.3011299781631e-07,67.14999867351418
I4,1,N2,5.194997200167527e-05,2.8872402302530726e-05,-7.5,6.965101512598736e-07,2.8858728905561845e-05,7.5,7.764169473938568e-07,67.1499990098844
I4,1,N3,79.94826152621172,79.94826152621172,9.903206789961297,8.646398989783395e-07,79.94826152621172,13.670808527001526,48.934363153820435,67.1499989372845
I4,1,N4,5.1965059235809076e-05,2.8880732593159718e-05,-7.5,6.421598193341767e-07,2.8870550855455342e-05,7.5,9.274653312164221e-07,67.14999891770499
I4,1,N5,6.710123740714106e-05,3.716926741576391e-05,-7.5,6.988899314984043e-07,3.714911549291476e-05,7.5,7.771350797463483e-07,67.14999901480344
I4,1,N6,5.19642163010798e-05,2.8882505220307903e-05,-7.5,6.330220193522722e-07,2.887379989549261e-05,7.5,9.822944476819074e-07,67.14999893997164
I4,1,N7,6.67926897049165e-05,3.6955136627798994e-05,-7.5,6.99136193616588e-07,3.693730617519262e-05,7.5,7.812617051607122e-07,67.1499990098844
I4,1,N8,64.00919690973635,64.00919690973635,-21.3769466214483,3.4216454031708625e-07,64.00919690973635,-4.431844199605163,14.837073844448872,67.14999898369753
I4,1,N9,51.0980774921071,51.0980774921071,-13.294833168158778,4.233906077237573e-07,51.098077492107095,-0.7290730583503879,8.735266077203345,67.14999894406081
I4,2,N1,6.721549393519243e-05,3.729503644201203e-05,-7.5,6.379204749237945e-07,3.7303078258117236e-05,7.5,9.31221636823657e-07,67.14999832494163
