scenario,hour,node,embedded_lambda_eur_per_mwh,reference_lambda_eur_per_mwh
high,4,N1,59.999983922392815,60.0
high,4,N2,59.99998386128115,60.0
high,4,N3,59.999983924846,60.0
high,4,N4,59.99998392908731,60.0
high,4,N5,59.9999839311038,60.0
high,4,N6,59.99998392948576,60.0
high,4,N7,59.999983901861754,60.0
high,4,N8,59.99998392000807,60.0
high,4,N9,59.999983924850326,60.0
high,5,N1,60.00000019988038,60.0
high,5,N2,60.00000014026504,60.0
high,5,N3,60.00000020295494,60.0
high,5,N4,60.000000207217504,60.0
high,5,N5,60.000000210129926,60.0
high,5,N6,60.00000020726418,60.0
high,5,N7,60.00000018084563,60.0
high,5,N8,60.00000019838541,60.0
high,5,N9,60.00000020296122,60.0
high,6,N1,60.00000053268787,60.0
high,6,N2,60.00000048021898,60.0
high,6,N3,60.000000541622235,60.0
high,6,N4,60.00000054322709,60.0
high,6,N5,60.000000549533084,60.0
high,6,N6,60.00000054486035,60.0
high,6,N7,60.000000520799574,60.0
high,6,N8,60.00000053788818,60.0
high,6,N9,60.0000005416291,60.0
high,7,N1,60.000000597068976,60.0
high,7,N2,60.000000559848026,60.0
high,7,N3,60.000000617182216,60.0
high,7,N4,60.00000061541203,60.0
high,7,N5,60.000000629758134,60.0
high,7,N6,60.00000061880477,60.0
high,7,N7,60.00000060042862,60.0
high,7,N8,60.00000061469047,60.0
high,7,N9,60.000000617190054,60.0
high,8,N1,60.00000061281199,60.0
high,8,N2,60.000000577382174,60.0
high,8,N3,60.00000062782993,60.0
high,8,N4,60.000000632796386,60.0
high,8,N5,60.00000065293434,60.0
high,8,N6,60.00000063034268,60.0
high,8,N7,60.00000061796277,60.0
high,8,N8,60.0000006246405,60.0
high,8,N9,60.00000062783976,60.0
high,9,N1,60.000000541599235,60.0
high,9,N2,60.000000462681776,60.0
high,9,N3,60.00000050407283,60.0
high,9,N4,60.00000054934242,60.0
high,9,N5,60.00000056002441,60.0
high,9,N6,60.00000051340052,60.0
high,9,N7,60.00000050326237,60.0
high,9,N8,60.0000004960275,60.0
high,9,N9,60.000000504089066,60.0
high,10,N1,52.200000673161824,52.2
high,10,N2,52.20000056356253,52.2
high,10,N3,52.20000054524406,52.2
high,10,N4,52.20000067591674,52.2
high,10,N5,52.20000066989292,52.2
high,10,N6,52.20000053495747,52.2
high,10,N7,52.200000584625165,52.2
high,10,N8,52.20000054846432,52.2
high,10,N9,52.20000054524406,52.2
high,11,N1,60.00000038108656,60.0
high,11,N2,52.20000046434992,52.2
high,11,N3,46.720975973018064,46.72097560975611
high,11,N4,60.00000038471905,60.0
high,11,N5,57.30487848578692,57.30487804878049
high,11,N6,41.33073215237869,41.3307317073171
high,11,N7,52.20000046858679,52.2
high,11,N8,49.917073483024446,49.91707317073171
high,11,N9,46.720975973018064,46.72097560975611
high,12,N1,52.20000061903059,52.20000000000002
high,12,N2,52.200000448423445,52.2
high,12,N3,1.922567911524072e-07,-0.0
high,12,N4,52.200000621223964,52.20000000000002
high,12,N5,52.20000058443821,52.20000000000003
high,12,N6,1.142588193754954e-07,-0.0
high,12,N7,52.200000451866615,52.2
high,12,N8,2.3513409137608057e-07,-0.0
high,12,N9,1.9222037884257044e-07,-0.0
high,13,N1,52.200000451817694,52.20000000000002
high,13,N2,52.20000042064751,52.2
high,13,N3,5.949293484065227e-08,-0.0
high,13,N4,52.2000004541707,52.20000000000002
high,13,N5,52.20000046426471,52.20000000000003
high,13,N6,6.946618930237755e-08,-0.0
high,13,N7,52.20000042322966,52.2
high,13,N8,5.0375215639532836e-08,-0.0
high,13,N9,5.945652246524157e-08,-0.0
high,14,N1,52.2000003887463,52.20000000000002
high,14,N2,52.20000038287899,52.2
