fleet,case,gamma,investor,node,hour,p_charge_mw,p_discharge_mw,net_injection_mw
final_gamma1e4,hard_min_norm,,I3,N3,4,-9.577633359858877e-09,0.012514649278608897,0.012514658856242257
final_gamma1e4,hard_min_norm,,I4,N3,4,-9.577444673311112e-09,0.03453254757382779,0.03453255715127246
final_gamma1e4,hard_min_norm,,I1,N3,5,-9.5772907664954e-09,0.14634320588831362,0.1463432154656044
final_gamma1e4,hard_min_norm,,I2,N3,5,-9.57729548112704e-09,0.12360486287041775,0.12360487244771323
final_gamma1e4,hard_min_norm,,I3,N3,5,-9.577505685479279e-09,0.016002209526130587,0.01600221910363627
final_gamma1e4,hard_min_norm,,I4,N3,5,-9.577334839232754e-09,0.07208836333803641,0.07208837291537125
final_gamma1e4,hard_min_norm,,I1,N3,6,-9.577285043968602e-09,0.16598589940208622,0.16598590897937127
final_gamma1e4,hard_min_norm,,I2,N3,6,-9.577289102936483e-09,0.1392024543558379,0.139202463933127
final_gamma1e4,hard_min_norm,,I3,N3,6,-9.577470521536838e-09,0.01746104709769279,0.017461056675163313
final_gamma1e4,hard_min_norm,,I4,N3,6,-9.577325769006874e-09,0.07991138453929245,0.07991139411661821
final_gamma1e4,hard_min_norm,,I1,N3,7,-9.577279958755865e-09,0.18926875978706548,0.18926876936434545
final_gamma1e4,hard_min_norm,,I2,N3,7,-9.577283064095527e-09,0.1586708781195815,0.15867088769686458
final_gamma1e4,hard_min_norm,,I3,N3,7,-9.577423075296219e-09,0.019894938152268452,0.01989494772969153
final_gamma1e4,hard_min_norm,,I4,N3,7,-9.57731588991923e-09,0.09096382687756566,0.09096383645488154
final_gamma1e4,hard_min_norm,,I1,N3,8,-9.57727241150523e-09,0.23695050460842298,0.2369505141856954
final_gamma1e4,hard_min_norm,,I2,N3,8,-9.577274068443447e-09,0.19867478763918103,0.1986747972164551
final_gamma1e4,hard_min_norm,,I3,N3,8,-9.577351673360445e-09,0.024966099788230767,0.02496610936558244
final_gamma1e4,hard_min_norm,,I4,N3,8,-9.577301247598954e-09,0.11425793974617926,0.1142579493234805
final_gamma1e4,hard_min_norm,,I1,N3,9,-9.577258773104007e-09,0.3847248189287528,0.3847248285060116
final_gamma1e4,hard_min_norm,,I2,N3,9,-9.577257754978412e-09,0.3235617331381314,0.3235617427153892
final_gamma1e4,hard_min_norm,,I3,N3,9,-9.57722094485015e-09,0.041565462012238284,0.04156547158945923
final_gamma1e4,hard_min_norm,,I4,N3,9,-9.577275304717177e-09,0.20332084974623826,0.20332085932351357
final_gamma1e4,hard_min_norm,,I1,N3,10,-9.393857963314182e-09,-8.568187914525874e-09,8.256700487883079e-10
final_gamma1e4,hard_min_norm,,I2,N3,10,-9.393063119727631e-09,-8.572029221683694e-09,8.210338980439367e-10
final_gamma1e4,hard_min_norm,,I3,N3,10,-9.391120931191831e-09,-8.580882792240356e-09,8.102381389514752e-10
final_gamma1e4,hard_min_norm,,I4,N3,10,-9.389642195883071e-09,-8.590426534091817e-09,7.99215661791254e-10
final_gamma1e4,hard_min_norm,,I1,N3,11,-9.159978684317187e-09,-9.123051169640974e-09,3.692751467621296e-11
final_gamma1e4,hard_min_norm,,I2,N3,11,-9.156182456923272e-09,-9.126693865066568e-09,2.948859185670469e-11
final_gamma1e4,hard_min_norm,,I3,N3,11,-9.147339801138698e-09,-9.135182044203719e-09,1.2157756934979886e-11
final_gamma1e4,hard_min_norm,,I4,N3,11,-9.140090234861534e-09,-9.143198693307288e-09,-3.108458445754686e-12
final_gamma1e4,hard_min_norm,,I1,N3,12,0.8457314472232781,-9.559155126561155e-09,-0.8457314567824332
final_gamma1e4,hard_min_norm,,I2,N3,12,0.7123601081300983,-9.56084025469221e-09,-0.7123601176909385
final_gamma1e4,hard_min_norm,,I3,N3,12,0.09197347366979243,-9.564579028876599e-09,-0.09197348323437146
final_gamma1e4,hard_min_norm,,I4,N3,12,0.07918495861748175,-9.567889193772807e-09,-0.07918496818537094
