hour,node,shed_mw,bound_mw,marginal_wtp_eur_per_mwh,xi_shed_dual
22,N4,-9.211309389491085e-09,253.44,499.999999359178,8.692984314364983e-09
22,N5,-9.211309376964714e-09,42.23999999999999,499.999996155068,2.1579058860684318e-09
23,N1,-9.211309374963438e-09,37.14,499.99999562708865,1.081043204811117e-09
23,N2,-9.211309389214435e-09,222.84,499.9999992711814,8.513507200828042e-09
23,N3,-9.21130938921342e-09,222.84,499.9999992711814,8.513507200828042e-09
23,N4,-9.211309389216892e-09,222.84,499.9999992711814,8.513507200828042e-09
23,N5,-9.211309374963488e-09,37.14,499.99999562708865,1.0810432048111182e-09
24,N1,-9.21130937370832e-09,34.38,499.99999527603467,3.65036202039632e-10
24,N2,-9.211309389105361e-09,206.28,499.99999921267244,8.394172700370504e-09
24,N3,-9.211309389104407e-09,206.28,499.99999921267244,8.394172700370504e-09
24,N4,-9.211309389107252e-09,206.28,499.99999921267244,8.394172700370504e-09
24,N5,-9.211309373707763e-09,34.38,499.99999527603467,3.6503620203963237e-10
