hour,node,p_charge_mw,p_discharge_mw,soc_mwh,lambda_eur_per_mwh
11,N3,8.659063971681403e-07,1.958741416372375e-07,2.0495299582002535e-06,44.92892066073536
11,N4,5.289077727190354e-07,2.0201984760703437e-07,2.5931326895526093e-05,60.00000001272038
11,N5,3.5014352351160367e-07,2.494127903675981e-07,2.6561883650406602e-05,64.88947233684618
11,N6,7.826181157185092e-07,1.827563945999086e-07,2.410521925200645e-05,54.70786525724043
11,N7,2.1932876211113496e-07,4.0564741865877706e-07,2.926073912636212e-05,74.15070808297057
11,N8,41.7779702154785,1.583903746901619e-07,39.10418091481782,39.130581744172524
11,N9,8.656645395890151e-07,1.9592034748276162e-07,2.049603599998701e-06,44.92892066073538
12,N1,5.284643269238065e-07,2.0209405531625034e-07,2.6210073734677003e-05,59.99999999151544
12,N2,1.6091309256223633e-07,1.0797813692481863e-06,2.8257909383092894e-05,79.59494914650097
12,N3,22.12140377386559,1.583903763785048e-07,20.705635812647667,39.13058257683445
12,N4,5.284760040784597e-07,2.020970775911564e-07,2.6210064754156404e-05,59.99999999902491
12,N5,2.936505246554445e-07,2.8964098952287066e-07,2.65272950398571e-05,66.77061253051087
12,N6,1.3989033897589553e-06,1.6420762147734111e-07,2.5239157331789483e-05,52.671807590344
12,N7,1.6091196110324e-07,1.0798304410630123e-06,2.825768772081905e-05,79.59494914649655
12,N8,100.00000044667367,1.1275061706322549e-07,132.7041812124443,31.101432674098607
12,N9,22.336419581324925,1.5839037633324282e-07,20.906890608503243,39.130582575819695
13,N1,5.282487638793263e-07,2.0213316957900168e-07,2.6488560336664842e-05,59.99999998539728
13,N2,1.6104539001997268e-07,1.0743546900026633e-06,2.7260833028405147e-05,79.59494961058576
13,N3,58.65502763560532,1.5839037711446475e-07,75.60674151035376,39.13058207366533
13,N4,5.282608122910505e-07,2.0213622556796182e-07,2.648855936851215e-05,59.999999992307295
13,N5,2.936462918084732e-07,2.896060259208172e-07,2.649273982163853e-05,66.77061268460491
13,N6,1.3924895597651676e-06,1.6433679722663682e-07,2.6366954058419172e-05,52.67180740861258
13,N7,1.610442155108552e-07,1.0744034026404777e-06,2.7260558223374304e-05,79.59494961058576
13,N8,100.00000044667374,1.127506162100726e-07,226.30418151007086,31.101431957566877
13,N9,58.716651439392635,1.5839037706596512e-07,75.86567618655427,39.13058207095978
14,N1,5.282499548176242e-07,2.021342868150553e-07,2.676704685974268e-05,59.99999997885592
14,N2,1.4648755625942542e-07,2.3464070424011624e-06,2.4891100250293495e-05,81.57711352170912
14,N3,69.31327096073856,1.433946594592128e-07,140.48396297640562,37.01949691851456
14,N4,5.282624099679919e-07,2.0213737876971824e-07,2.6767054246240353e-05,59.99999998540008
14,N5,2.773081095440332e-07,3.0771193868426893e-07,2.6423548140927875e-05,67.45550671359706
14,N6,1.927301776563994e-06,1.5836555001129305e-07,2.8001714557595797e-05,51.93051032606468
14,N7,1.4648658363372507e-07,2.345736195354914e-06,2.489154125181475e-05,81.57711352170907
14,N8,100.00000056755485,1.0172555054853317e-07,319.90418193262104,28.17814304005967
14,N9,69.61078332903946,1.4339465943793194e-07,141.0213692293358,37.01949691526274
15,N1,5.284647536441088e-07,2.0209719707182274e-07,2.7045774060316095e-05,59.99999996966869
15,N2,1.6096187611379492e-07,1.0777921719045166e-06,2.389027320319016e-05,79.59494928707973
15,N3,39.361146358846675,1.5839037811153452e-07,177.32599579906562,39.130582374344854
15,N4,5.284773392866646e-07,2.0210029897485383e-07,2.7045789912976296e-05,59.99999997591579
15,N5,2.936507209425747e-07,2.8963589911341675e-07,2.6388965152574766e-05,66.77061256127804
15,N6,1.3978759148722926e-06,1.642329057340899e-07,2.9134663907790075e-05,52.67180750140983
15,N7,1.6096071032676928e-07,1.0778419609590186e-06,2.389065992010045e-05,79.59494928707974
15,N8,100.0000004466737,1.1275061747700901e-07,413.5041822302476,31.101432394483076
15,N9,39.94471172430095,1.5839037803058204e-07,178.409619234061,39.13058237252927
16,N1,5.288948379805231e-07,2.0202194028162856e-07,2.7324984222382076e-05,59.99999997791171
